,rating
0,6.2
1,5.4
2,5.6
3,7.0
4,5.8
5,6.2
6,7.0
7,6.0
8,8.8
9,4.4
10,5.4
11,6.2
12,5.8
13,6.6
14,4.4
15,4.6
16,4.6
17,3.2
18,3.8
19,5.0
20,5.0
21,7.2
22,5.2
23,5.4
24,5.0
25,3.8
26,5.6
27,5.8
28,3.8
29,4.8
30,5.6
31,6.4
32,5.8
33,4.6
34,5.6
35,4.4
36,7.2
37,4.8
38,4.8
39,3.6
40,5.8
41,7.2
42,4.4
43,4.2
44,4.2
45,5.4
46,5.4
47,5.4
48,5.0
49,5.6
50,4.2
51,4.4
52,7.4
53,5.2
54,6.0
55,5.4
56,7.8
57,9.0
58,4.2
59,4.4
60,5.8
61,6.0
62,5.4
63,4.8
64,4.6
65,3.8
66,4.8
67,5.8
68,6.0
69,6.0
70,4.6
71,8.2
72,6.6
73,8.2
74,4.6
75,5.0
76,6.4
77,6.0
78,4.4
79,3.8
80,4.6
81,6.0
82,5.4
83,5.0
84,4.4
85,6.4
86,7.8
87,6.8
88,5.8
89,7.2
90,5.4
91,9.0
92,5.8
93,6.2
94,4.4
95,7.6
96,6.6
97,7.6
98,7.0
99,6.6
