,runtime_minutes
0,59460
1,51420
2,14400
3,10062
4,9000
5,6000
6,5460
7,5220
8,4980
9,4200
10,4080
11,3450
12,3122
13,3077
14,2905
15,2880
16,2400
17,2382
18,2323
19,2160
20,2160
21,1970
22,1970
23,1834
24,1800
25,1800
26,1669
27,1559
28,1500
29,1452
30,1440
31,1440
32,1440
33,1428
34,1320
35,1260
36,1200
37,1184
38,1179
39,1151
40,1100
41,1035
42,990
43,950
44,912
45,900
46,873
47,865
48,842
49,840
50,840
51,840
52,821
53,808
54,780
55,780
56,763
57,761
58,746
59,729
60,724
61,720
62,720
63,720
64,720
65,720
66,703
67,700
68,680
69,675
70,665
71,660
72,659
73,653
74,632
75,625
76,623
77,623
78,620
79,613
80,607
81,605
82,601
83,600
84,600
85,600
86,600
87,580
88,566
89,551
90,549
91,545
92,540
93,540
94,540
95,540
96,520
97,501
98,500
99,500
100,495
101,489
102,485
103,485
104,480
105,480
106,480
107,480
108,480
109,480
110,480
111,480
112,476
113,467
114,465
115,460
116,450
117,450
118,450
119,450
120,450
121,450
122,447
123,442
124,440
125,437
126,429
127,426
128,422
129,421
130,420
131,420
132,420
133,418
134,416
135,414
136,411
137,410
138,410
139,410
140,406
141,404
142,402
143,400
144,400
145,400
146,398
147,396
148,395
149,392
150,390
151,388
152,385
153,383
154,382
155,382
156,380
157,380
158,380
159,380
160,379
161,378
162,375
163,374
164,371
165,367
166,366
167,365
168,365
169,364
170,364
171,363
172,363
173,360
174,360
175,360
176,360
177,360
178,360
179,360
180,360
181,360
182,360
183,360
184,360
185,360
186,360
187,360
188,360
189,360
190,360
191,360
192,360
193,360
194,360
195,360
196,360
197,360
198,360
199,360
200,360
201,360
202,360
203,360
204,360
205,360
206,359
207,359
208,358
209,358
210,358
211,358
212,357
213,356
214,354
215,353
216,352
217,350
218,350
219,350
220,346
221,345
222,341
223,340
224,338
225,338
226,336
227,335
228,334
229,333
230,332
231,330
232,330
233,330
234,330
235,330
236,330
237,330
238,328
239,328
240,325
241,325
242,324
243,323
244,323
245,323
246,321
247,321
248,320
249,320
250,320
251,320
252,320
253,320
254,320
255,320
256,319
257,317
258,317
259,317
260,317
261,317
262,316
263,315
264,315
265,315
266,313
267,313
268,313
269,312
270,312
271,312
272,311
273,311
274,310
275,310
276,310
277,310
278,310
279,310
280,310
281,310
282,310
283,310
284,308
285,308
286,306
287,305
288,305
289,305
290,305
291,304
292,303
293,303
294,302
295,302
296,302
297,301
298,300
299,300
300,300
301,300
302,300
303,300
304,300
305,300
306,300
307,300
308,300
309,300
310,300
311,300
312,300
313,300
314,300
315,300
316,300
317,300
318,300
319,300
320,300
321,300
322,300
323,300
324,300
325,300
326,300
327,300
328,300
329,300
330,300
331,300
332,300
333,300
334,300
335,300
336,300
337,300
338,300
339,300
340,300
341,300
342,300
343,300
344,300
345,300
346,300
347,300
348,300
349,300
350,299
351,299
352,299
353,298
354,298
355,296
356,296
357,295
358,295
359,295
360,294
361,294
362,293
363,293
364,291
365,291
366,290
367,290
368,290
369,289
370,289
371,288
372,288
373,288
374,288
375,288
376,288
377,287
378,287
379,287
380,287
381,287
382,285
383,285
384,285
385,285
386,285
387,285
388,285
389,285
390,285
391,285
392,285
393,284
394,284
395,284
396,283
397,282
398,281
399,281
400,281
401,280
402,280
403,280
404,280
405,280
406,280
407,280
408,280
409,279
410,279
411,278
412,278
413,278
414,278
415,278
416,278
417,278
418,277
419,277
420,276
421,275
422,275
423,275
424,275
425,275
426,275
427,275
428,274
429,274
430,274
431,273
432,273
433,273
434,272
435,272
436,271
437,270
438,270
439,270
440,270
441,270
442,270
443,270
444,270
445,270
446,270
447,270
448,270
449,270
450,270
451,270
452,270
453,270
454,270
455,270
456,270
457,270
458,270
459,270
460,269
461,269
462,269
463,269
464,268
465,268
466,268
467,268
468,267
469,267
470,267
471,266
472,265
473,265
474,265
475,265
476,265
477,264
478,264
479,264
480,264
481,263
482,263
483,263
484,263
485,263
486,263
