premiered,sum_rating,ammount_movies
1911,4.0,1
1912,5.2,1
1913,5.875,4
1914,5.725,8
1915,5.325,12
1916,6.033333333333333,18
1917,5.338461538461538,13
1918,6.015384615384615,13
1919,5.604166666666667,24
1920,5.441666666666667,24
1921,5.466666666666667,21
1922,5.209523809523809,21
1923,5.873076923076923,26
1924,5.208823529411766,34
1925,5.656896551724137,58
1926,5.560227272727272,88
1927,5.739622641509434,53
1928,5.666666666666667,60
1929,5.678571428571429,42
1930,5.455357142857144,56
1931,5.593939393939394,66
1932,5.787058823529412,85
1933,5.78507462686567,67
1934,5.398507462686567,67
1935,5.658992805755396,139
1936,5.956198347107439,121
1937,5.9750000000000005,156
1938,5.862499999999999,120
1939,6.037121212121212,132
1940,6.199999999999998,96
1941,6.134513274336284,113
1942,6.098540145985402,137
1943,6.206593406593405,91
1944,6.054838709677419,93
1945,6.217857142857142,56
1946,6.2275362318840575,69
1947,6.260204081632651,98
1948,6.293396226415094,106
1949,6.161290322580645,93
1950,6.067816091954023,87
1951,6.263953488372094,86
1952,6.155434782608695,92
1953,6.0476744186046485,86
1954,5.999999999999999,70
1955,5.97076923076923,65
1956,6.313235294117646,68
1957,6.165957446808511,94
1958,6.244776119402983,67
1959,5.969736842105265,76
1960,6.020652173913043,92
1961,6.033734939759037,83
1962,5.9930693069306935,101
1963,6.193814432989689,97
1964,6.133333333333332,120
1965,6.061904761904762,126
1966,6.009146341463415,164
1967,5.943502824858757,177
1968,6.0659340659340675,182
1969,6.054404145077721,193
1970,6.024479166666668,192
1971,6.0093023255813955,215
1972,6.049792531120333,241
1973,5.864576802507837,319
1974,5.855218855218856,297
1975,5.951141552511416,219
1976,5.844186046511628,258
1977,5.863945578231293,294
1978,5.9276978417266175,278
1979,5.860197368421052,304
1980,5.914046822742472,299
1981,6.0035433070866135,254
1982,5.789219330855021,269
1983,5.737969924812029,266
1984,5.769611307420494,283
1985,5.6899350649350655,308
1986,5.575942028985506,345
1987,5.459459459459458,370
1988,5.4790361445783144,415
1989,5.474599542334097,437
1990,5.517475728155341,412
1991,5.538974358974361,390
1992,5.582913165266105,357
1993,5.557297297297298,370
1994,5.43129973474801,377
1995,5.351908396946565,393
1996,5.438176638176637,351
1997,5.378171091445426,339
1998,5.508064516129032,310
1999,5.49672619047619,336
2000,5.370846394984328,319
2001,5.498966408268734,387
2002,5.518427518427517,407
2003,5.581865284974092,386
2004,5.545721271393643,409
2005,5.447482014388489,417
2006,5.412048192771086,415
2007,5.543487858719647,453
2008,5.448373983739837,492
2009,5.505472636815917,603
2010,5.653102453102451,693
2011,5.684263233190272,699
2012,5.830835734870316,694
2013,5.638247566063977,719
2014,5.814968553459122,795
2015,5.678051787916153,811
2016,5.752806414662084,873
2017,5.8492537313432855,871
2018,5.714379947229552,758
2019,6.144398340248961,482
