premiered,sum_rating,ammount_movies
1900,6.1,1
1903,3.4,1
1906,5.05,2
1907,4.8,3
1908,4.175,4
1909,3.8333333333333335,6
1910,5.006666666666667,15
1911,4.956521739130435,23
1912,5.659090909090909,22
1913,5.878571428571429,42
1914,5.8049382716049385,81
1915,6.025233644859813,107
1916,5.894308943089431,123
1917,6.06186440677966,118
1918,6.100877192982455,114
1919,6.168,125
1920,5.970802919708028,137
1921,6.186614173228347,127
1922,6.0360902255639095,133
1923,6.149655172413794,145
1924,6.336363636363636,132
1925,6.117341040462429,173
1926,6.3212643678160925,174
1927,6.3065934065934055,182
1928,6.547791164658633,249
1929,6.325099601593626,251
1930,6.120306513409961,261
1931,6.345664739884391,346
1932,6.334203655352481,383
1933,6.269729729729732,370
1934,6.2386138613861375,404
1935,6.153937947494033,419
1936,6.228378378378376,444
1937,6.349555555555554,450
1938,6.338789237668164,446
1939,6.338513513513514,444
1940,6.315064935064934,385
1941,6.274104683195594,363
1942,6.268925233644859,428
1943,6.39236842105263,380
1944,6.298181818181819,330
1945,6.403395061728395,324
1946,6.500763358778629,393
1947,6.54582338902148,419
1948,6.56150341685649,439
1949,6.514553014553017,481
1950,6.368359375,512
1951,6.494179894179892,567
1952,6.454011741682976,511
1953,6.357266435986161,578
1954,6.373127035830619,614
1955,6.402516778523488,596
1956,6.438102643856919,643
1957,6.396458923512752,706
1958,6.366066066066066,666
1959,6.4062027231467455,661
1960,6.365079365079363,693
1961,6.434045584045583,702
1962,6.447090663058189,739
1963,6.445665634674921,646
1964,6.424541607898449,709
1965,6.4631875881523255,709
1966,6.460287769784173,695
1967,6.366143790849675,765
1968,6.27797202797203,858
1969,6.215657620041755,958
1970,6.184972972972972,925
1971,6.195974576271183,944
1972,6.235338345864659,931
1973,6.193028095733609,961
1974,6.219259259259256,945
1975,6.253070683661646,863
1976,6.214954337899543,876
1977,6.302505446623097,918
1978,6.345814479638007,884
1979,6.323703703703701,945
1980,6.262593783494107,933
1981,6.359731543624163,894
1982,6.242796157950912,937
1983,6.30578512396694,968
1984,6.223370110330993,997
1985,6.263999999999999,975
1986,6.189951219512195,1025
1987,6.2464609800362965,1102
1988,6.1798657718120795,1043
1989,6.228355387523629,1058
1990,6.228252427184464,1030
1991,6.2292523364485985,1070
1992,6.285068349106207,951
1993,6.204892367906069,1022
1994,6.193339676498569,1051
1995,6.072356215213352,1078
1996,6.21560480147738,1083
1997,6.17994966442953,1192
1998,6.2219211822660085,1218
1999,6.150989345509891,1314
2000,6.13815028901734,1384
2001,6.161326329612604,1523
2002,6.169434194341943,1626
2003,6.147461773700302,1635
2004,6.242141230068332,1756
2005,6.237645865043126,1971
2006,6.1929433611884885,2154
2007,6.215734424738517,2199
2008,6.1657606490872245,2465
2009,6.196429859358098,2773
2010,6.247121315969847,2918
2011,6.290836270426148,3121
2012,6.346033728919423,3202
2013,6.365239726027396,3504
2014,6.379994388327723,3564
2015,6.264437772925767,3664
2016,6.339983212087294,3574
2017,6.414605484051492,3574
2018,6.3721071863581,3284
2019,6.635710866443273,2089
