,genres,rating_mean,ammount_movies
0,"Documentary,Music,War",8.054545454545455,11
1,"Documentary,Family,Sport",8.016666666666667,18
2,"Biography,Documentary,Musical",7.8,12
3,"Documentary,Family,Music",7.799999999999998,28
4,"Action,Documentary,Sport",7.792307692307691,26
5,"Biography,Documentary,Music",7.578100263852246,379
6,"Documentary,Thriller",7.573333333333334,15
7,"Documentary,History,Music",7.570542635658913,129
8,"Documentary,Drama,Sport",7.562745098039215,51
9,"Documentary,Family,News",7.559999999999998,20
10,"Biography,Documentary,Family",7.534285714285719,140
11,"Biography,Documentary,War",7.527272727272728,22
12,"Action,Documentary,Drama",7.52,35
13,"Action,Biography,Documentary",7.491428571428571,35
14,"Documentary,Family,History",7.49107142857143,56
15,"Adventure,Documentary,Family",7.484782608695654,46
16,"Adventure,Documentary,Sport",7.479166666666668,48
17,"Animation,Biography,Documentary",7.478260869565218,46
18,"Documentary,History,Sport",7.467346938775509,49
19,"Biography,Documentary,Sport",7.4587412587412585,143
20,"Adventure,Documentary,Music",7.449999999999999,16
21,"Adventure,Documentary",7.444692737430163,179
22,"Documentary,Music",7.441875447387263,1397
23,"Documentary,Drama,War",7.438297872340426,47
24,"Action,Adventure,Documentary",7.435714285714286,70
25,"Crime,Documentary,News",7.433333333333333,18
26,"Biography,Documentary,Drama",7.417298578199048,422
27,"Documentary,Drama,News",7.412676056338024,71
28,"Adventure,Biography,Documentary",7.409917355371901,121
29,"Adventure,Documentary,History",7.40754716981132,53
30,"Biography,Crime,Documentary",7.4021505376344106,93
31,"Crime,Documentary,Mystery",7.400000000000002,15
32,"Documentary,History,War",7.388020833333336,192
33,"Biography,Documentary,History",7.38796147672552,623
34,"Biography,Documentary,News",7.384000000000002,50
35,"Documentary,Sport",7.370304975922955,623
36,"Animation,Documentary,History",7.36086956521739,23
37,"Biography,Documentary,Romance",7.352941176470588,17
38,"Documentary,Drama,History",7.333333333333333,168
39,"Comedy,Documentary,Drama",7.327439024390245,164
40,"Adventure,Documentary,Drama",7.3254237288135595,118
41,"Biography,Comedy,Documentary",7.317105263157895,152
42,"Crime,Documentary,Drama",7.3160493827160495,81
43,"Documentary,Western",7.309090909090909,22
44,Music,7.304456824512533,359
45,"Comedy,Documentary,Musical",7.300000000000001,11
46,"Documentary,History",7.298803191489364,752
47,"Documentary,Music,Musical",7.295454545454547,22
48,"Documentary,Drama,Family",7.271428571428573,161
49,"Documentary,Family",7.271122994652403,187
50,"Documentary,History,News",7.267295597484273,159
51,"Documentary,War",7.264022662889514,353
52,"Biography,Documentary",7.239917012448134,1205
53,"Adventure,Documentary,News",7.235294117647058,17
54,Documentary,7.216692957223727,21554
55,"Documentary,News",7.2139344262295095,244
56,"Animation,Documentary,Drama",7.209090909090909,11
57,"Documentary,Music,Sport",7.209090909090909,11
58,"Animation,Biography,Comedy",7.208333333333333,12
59,"Documentary,Drama",7.19306220095694,836
60,"Animation,Documentary",7.185714285714286,49
61,"Crime,Documentary,History",7.169090909090909,55
62,"Drama,Music,War",7.168749999999999,16
63,"Documentary,Drama,Fantasy",7.166666666666668,15
64,"Crime,Documentary",7.148993288590601,149
65,"Action,Comedy,Documentary",7.145454545454544,22
66,"Documentary,Drama,Mystery",7.126666666666667,15
67,"Animation,Biography,Drama",7.126315789473685,19
68,"Documentary,Drama,Romance",7.122580645161293,31
69,"Documentary,Drama,Music",7.1078947368421055,38
70,"Documentary,Musical",7.0915662650602425,83
71,"Comedy,Documentary,Music",7.0725,40
72,"Drama,Fantasy,Music",7.045,20
73,"Documentary,Fantasy",7.015384615384614,13
74,"Action,Documentary",7.003703703703705,27
75,"Documentary,Romance",6.985416666666666,48
76,"Animation,Drama,Family",6.982857142857142,35
77,"Drama,Film-Noir,Romance",6.9772727272727275,22
78,"Adventure,Comedy,Documentary",6.974576271186438,59
79,"Comedy,Documentary,Family",6.971428571428572,28
80,"Comedy,Documentary,History",6.953488372093022,43
81,"Biography,War",6.918181818181819,11
82,"Animation,Drama,Romance",6.914285714285714,21
83,"Drama,History,Music",6.896551724137932,29
84,"Animation,Drama,Fantasy",6.889130434782607,46
85,"Action,Animation,Drama",6.887209302325584,86
86,"Action,Animation,Crime",6.869999999999999,30
87,"Drama,Film-Noir",6.847499999999999,40
88,"Drama,History,Musical",6.842857142857142,28
89,"Comedy,Documentary",6.838658146964855,313
90,"Animation,Drama",6.823529411764707,51
91,Sport,6.81888111888112,143
92,"Action,Biography,Drama",6.789320388349514,103
93,"Drama,Family,Musical",6.7879032258064536,124
94,"Biography,Drama,History",6.787731092436969,595
95,"Drama,Thriller,Western",6.786666666666667,15
96,"Comedy,Drama,History",6.774137931034481,116
97,"Biography,Drama,Sport",6.761320754716984,106
98,"Animation,Comedy,Drama",6.759090909090909,88
99,"Drama,Family,History",6.759090909090909,44
100,"Drama,Mystery,War",6.752631578947369,19
101,"Action,Musical,Romance",6.745454545454544,11
102,"Drama,Film-Noir,Thriller",6.7437499999999995,32
103,"Crime,Film-Noir,Thriller",6.73076923076923,26
104,"Romance,War",6.73,30
105,"Biography,Comedy,Drama",6.728961748633876,183
106,"Comedy,Drama,War",6.7273504273504265,117
107,"Biography,Drama,Musical",6.697500000000001,40
108,"Biography,Crime,Drama",6.696330275229357,218
109,"Biography,Comedy,Music",6.6909090909090905,11
110,"Biography,History",6.687234042553194,47
111,"Biography,Drama,Music",6.68550724637681,207
112,"Documentary,History,Mystery",6.678947368421052,19
113,"Drama,History,Thriller",6.665277777777777,72
114,Biography,6.659106529209623,291
115,"Adventure,Animation,Drama",6.655813953488372,86
116,"Comedy,Family,Western",6.653846153846154,13
117,"Comedy,History,Romance",6.653846153846154,13
118,"Drama,Fantasy,History",6.65,16
119,"Drama,Film-Noir,Mystery",6.648484848484849,33
120,"Drama,Family,Fantasy",6.64313725490196,102
121,"Action,Animation,Fantasy",6.6428571428571415,49
122,"Biography,Comedy,Crime",6.633333333333332,24
123,"Crime,Drama,Family",6.626086956521739,46
124,"Film-Noir,Mystery",6.623076923076923,13
125,"History,Romance",6.622222222222223,18
126,"Biography,Drama,War",6.62043010752688,93
127,"Biography,Drama,Family",6.618518518518518,54
128,"Action,History",6.608695652173913,46
129,"Comedy,Fantasy,Music",6.6,22
130,"Documentary,Mystery",6.6,37
131,"Comedy,Fantasy,Mystery",6.599999999999999,18
132,"Crime,Drama,Film-Noir",6.595210727969345,522
133,"Drama,Musical,Thriller",6.592857142857143,14
134,"Crime,Drama,History",6.59240506329114,79
135,"Crime,Film-Noir,Mystery",6.591999999999998,25
136,"Drama,Romance,War",6.590043290043288,462
137,"Biography,Drama,Romance",6.586842105263159,190
138,"Drama,Music,Mystery",6.583333333333333,18
139,"Action,Adventure,Biography",6.574074074074073,54
140,"Drama,History",6.570964125560534,892
141,"Comedy,Music,Musical",6.564285714285714,28
142,"Drama,Family,War",6.554545454545454,22
143,"Family,Romance",6.550000000000002,46
144,History,6.535222672064782,247
145,"Drama,Family",6.531070678796367,1429
146,"Action,Adventure,Animation",6.529971988795515,357
147,"Drama,History,War",6.524929971988792,357
148,"Biography,Drama",6.524469413233463,801
149,"Drama,History,Mystery",6.516666666666666,18
150,"Drama,War",6.509196035242286,1816
151,"Drama,War,Western",6.50909090909091,11
152,"Adventure,Animation,Biography",6.499999999999999,11
153,"Drama,Family,Western",6.495833333333334,24
154,"Drama,History,Sport",6.493333333333333,15
155,"Adventure,Comedy,Musical",6.491176470588236,34
156,"Crime,Drama,Musical",6.488636363636362,44
157,"Fantasy,Musical",6.485714285714287,21
158,"Animation,Sport",6.484615384615386,13
159,"Adventure,Biography,Drama",6.483870967741937,93
160,"Action,Drama,History",6.476829268292683,246
161,"Comedy,Musical,War",6.470588235294117,17
162,"Drama,Family,Romance",6.459183673469382,245
163,"Biography,Drama,Thriller",6.448387096774191,31
164,"Documentary,Sci-Fi",6.4479999999999995,25
165,"Comedy,Drama,Mystery",6.4387640449438175,178
166,"Drama,History,Romance",6.431012658227847,316
167,"Drama,Music,Musical",6.422448979591839,49
168,"Drama,Musical",6.401744186046506,516
169,"Drama,Fantasy,Romance",6.401075268817204,186
170,"Biography,Music",6.399999999999999,18
171,"Comedy,Drama,Music",6.399302325581398,430
172,"Action,History,Romance",6.390909090909091,11
173,"Drama,Romance,Western",6.386666666666668,60
174,"Comedy,Drama,Fantasy",6.3807142857142845,420
175,"Action,Biography,Crime",6.379591836734694,49
176,"Drama,Musical,Romance",6.378588235294123,425
177,"Adventure,Drama,Family",6.37848101265823,237
178,"Drama,Fantasy",6.374285714285716,420
179,"Comedy,Drama,Family",6.374238227146819,722
180,"Drama,Fantasy,Musical",6.3735294117647046,34
181,Drama,6.3733436055471095,40887
182,"Drama,Music",6.3728421052631585,475
183,"Comedy,Romance,War",6.370588235294119,34
184,"Action,Animation,Comedy",6.363157894736842,76
185,"Family,Musical",6.3619047619047615,42
186,"Drama,Mystery",6.350000000000001,588
187,"Animation,Horror",6.349999999999999,12
188,"Drama,Family,Music",6.339534883720932,43
189,"Biography,Musical",6.3375,16
190,"Action,History,War",6.325,16
191,"Animation,Fantasy",6.3244444444444445,45
192,"Crime,Drama,Fantasy",6.3244444444444445,45
193,"Drama,Family,Mystery",6.319230769230767,26
194,"Drama,History,Western",6.316666666666666,24
195,"Adventure,Drama,Thriller",6.315238095238096,105
196,"Animation,Comedy,Crime",6.312500000000001,16
197,"Action,Adventure,History",6.31111111111111,72
198,"Adventure,History,Romance",6.309374999999999,32
199,"Drama,Family,Thriller",6.309374999999999,32
200,"Adventure,Crime,Family",6.3047619047619055,21
201,"Drama,Fantasy,Mystery",6.30440251572327,159
202,"Adventure,Animation,Fantasy",6.3,74
203,"Action,Biography,History",6.299999999999999,14
204,"Adventure,Drama,War",6.291836734693878,98
205,"Comedy,Drama",6.290821442344763,7779
206,"Comedy,Mystery,Romance",6.286363636363637,44
207,"Adventure,Comedy,Drama",6.285990338164246,414
208,"Drama,Family,Sport",6.282608695652174,46
