,name,average_rating
0,Roopa Rao,9.458333333333334
1,Wayne Dudley,9.358333333333334
2,Ian Cranston,9.35
3,Rafael Marziano Tinoco,9.171428571428573
4,Kostas Lyhnaras,9.166176470588232
5,Kostas Koutsomytis,9.160869565217393
6,Zheng Zhou,9.128571428571428
7,Umur Turagay,9.111111111111109
8,Turkan Derya,9.106666666666667
9,Sruti Harihara Subramanian,9.016666666666667
10,Daniel Marusic,9.00923076923077
11,Levan Dabrundashvili,9.0
12,Benjamin J. Walter,8.995652173913044
13,Theresa Labreglio,8.995238095238093
14,Luchezar Avramov,8.991228070175435
15,Ziya Öztan,8.971428571428572
16,Patrice Sauvé,8.971052631578948
17,Chris Zarb,8.941666666666666
18,Obrad Gluscevic,8.940000000000003
19,Stephen Johnson,8.94
20,Jano Ben Chaabane,8.936363636363636
21,Leonid Andronov,8.916666666666666
22,Milo Djukanovic,8.888
23,Dick Zondag,8.849999999999998
24,Cevdet Mercan,8.83140495867769
25,Ken Cole,8.819999999999999
26,Ray Ellingsen,8.816666666666666
27,Slaven Zimbrek,8.808333333333332
28,Graham Rich,8.785714285714285
29,Joakim Marusic,8.784000000000002
30,Jacob Ditlev,8.72857142857143
31,Tom Logan,8.72741935483871
32,Chad Cunningham,8.690000000000001
33,Trevor Wall,8.675862068965516
34,Wilhelm Semmelroth,8.673684210526314
35,Jamal Dedeaux,8.666666666666666
36,Nupur Asthana,8.649999999999999
37,Luca Guardabascio,8.641666666666667
38,Eduard Galic,8.632432432432433
39,Egon Monk,8.628571428571428
40,Mark Schwahn,8.620689655172415
41,Joss Whedon,8.619148936170212
42,Fernando Fraiha,8.614285714285712
43,Linda Palmer,8.6125
44,Joshua Dorsey,8.61111111111111
45,Jorge Eduardo Ramírez,8.61
46,Chris Noonan,8.6
47,Nat Perrin,8.594999999999999
48,Jacques Holender,8.571428571428571
49,Goran Gajic,8.570270270270273
