,primary_title,rating,votes
0,Buffalo Bill's Show Parade,6.2,5
1,Buffalo Bill's Wild West Parade,5.4,5
2,Buffalo Bill's Street Parade,5.6,5
3,Gulliver en el país de los gigantes,7.0,5
4,The Effects of Too Much Scotch,5.8,5
5,Fiskerliv i Norden,6.2,5
6,A Curious Dream,7.0,5
7,The Prodigal Son,6.0,5
8,Salaviinanpolttajat,8.8,5
9,The Kentuckian,4.4,5
10,The Outlaw,5.4,5
11,The Princess in the Vase,6.2,5
12,The Stage Rustler,5.8,5
13,Fellow Clerks,6.6,5
14,His Wife's Mother,4.4,5
15,I Did It,4.6,5
16,Der kleine Detektiv,4.6,5
17,A Woman of the People,3.2,5
18,The Luck of the Cards,3.8,5
19,Mamma,5.0,5
20,Mr. Jones' Burglar,5.0,5
21,A Rural Elopement,7.2,5
22,The Sacrifice,5.2,5
23,A Sweet Revenge,5.4,5
24,Those Boys!,5.0,5
25,De to guldgravere,3.8,5
26,To Save Her Soul,5.6,5
27,Tragic Love,5.8,5
28,Two Women and a Man,3.8,5
29,"Wanted, a Child",4.8,5
30,Was Justice Served?,5.6,5
31,The Welcome Burglar,6.4,5
32,Carceleras,5.8,5
33,Elverhøj,4.6,5
34,His Sister-In-Law,5.6,5
35,The Honor of His Family,4.4,5
36,Love's C. Q. D.,7.2,5
37,The Fairy Bookseller,4.8,5
38,May and December,4.8,5
39,Regina von Emmeritz och konung Gustaf II Adolf,3.6,5
40,A Victim of Jealousy,5.8,5
41,The Battle of Bunker Hill,7.2,5
42,Carmen o la hija del contrabandista,4.4,5
43,In the Days of '49,4.2,5
44,A Knight of the Road,4.2,5
45,Abraham's Sacrifice,5.4,5
46,The Thief and the Girl,5.4,5
47,Was He a Coward?,5.4,5
48,A Wreath of Orange Blossoms,5.0,5
49,The Darling of the CSA,5.6,5
50,Home Folks,4.2,5
51,Just Like a Woman,4.4,5
52,Lady Audley's Secret,7.4,5
53,A Lodging for the Night,5.2,5
54,My Baby,6.0,5
55,The Night Before Christmas,5.4,5
56,The Nurse,7.8,5
57,The Pony Express Girl,9.0,5
58,A Question of Seconds,4.2,5
59,The Tomboy on Bar Z,4.4,5
60,"The Vengeance of Durand; or, The Two Portraits",5.8,5
61,'Arriet's Baby,6.0,5
62,Alas! Poor Yorick!,5.4,5
63,By Man's Law,4.8,5
64,His Mother's Son,4.6,5
65,Lost in the Night,3.8,5
66,Near to Earth,4.8,5
67,The Stolen Loaf,5.8,5
68,Two Men of the Desert,6.0,5
69,Auntie's Portrait,6.0,5
70,The Giants-White Sox Tour,4.6,5
71,"Lincoln, the Lover",8.2,5
72,Men and Women,6.6,5
73,The Woman in Black,8.2,5
74,East Lynne,4.6,5
75,Cramps,5.0,5
76,A Creampuff Romance,6.4,5
77,Dolly's Scoop,6.0,5
78,Esther,4.4,5
79,I minnenas band,3.8,5
80,The Butcher's Nightmare,4.6,5
81,In the Fetters of Darkness,6.0,5
82,Pinched,5.4,5
83,Spliced and Iced,5.0,5
84,Ave Caesar!,4.4,5
85,Burglar by Proxy,6.4,5
86,Typical Mexican Aspects,7.8,5
87,Under the Lash,6.8,5
88,O Fado,5.8,5
89,Miles of Smiles,7.2,5
90,The Battling Fool,5.4,5
91,Milionar pentru o zi,9.0,5
92,There He Goes,5.8,5
93,The Gunless Bad Man,6.2,5
94,Life in Hollywood No. 4,4.4,5
95,Service for Ladies,7.6,5
96,La terrible lección,6.6,5
97,West Point,7.6,5
98,Mati samepo,7.0,5
99,Telling the World,6.6,5
