,primary_title,runtime_minutes
0,100,59460
1,Logistics,51420
2,Modern Times Forever,14400
3,Qw,10062
4,Beijing 2003,9000
5,Hunger!,6000
6,London EC1,5460
7,The Cure for Insomnia,5220
8,Ember Glow,4980
9,Deregulation,4200
10,Nieuwe Tieten,4080
11,City of Eternal Spring,3450
12,Unter der schwarzen Sturmfahne,3122
13,A 2nd generation film,3077
14,Saynatakuna: Masks,2905
15,The Longest Most Meaningless Movie in the World,2880
16,World Peace & Prayer Day,2400
17,Zimmermädchen... Dreimal klingeln,2382
18,"Jana, the Girl from the Bohemian Forest",2323
19,Five-Year Diary,2160
20,h36:,2160
21,A Twist of Fate,1970
22,Veera Pooja,1970
23,Aberration,1834
24,How Does David Lynch Do It?,1800
25,Hollywood East,1800
26,Azgrab: The Documentary,1669
27,The Nothing Movie,1559
28,****,1500
29,Grandmother Martha,1452
30,The Clock,1440
31,Funusion,1440
32,24 Hour Psycho,1440
33,The Hazards of Helen,1428
34,A Time to Stir,1320
35,The Innocence,1260
36,NHL: Washington Capitals 10 Greatest Games,1200
37,Pakistan: Education and Women,1184
38,Sakhi,1179
39,Breaking Yop,1151
40,Bullfighting Memories,1100
41,A Mosca cieca,1035
42,His Last Stand,990
43,Welcome to New York,950
44,An Infants Journey: Reggio Emilia Approach,912
45,From Stage to Screen,900
46,Resan,873
47,The New York Yankees: Fall Classic Collector's Edition 1996-2001,865
48,My Reflected Death,842
49,Crude Oil,840
50,Saving Julian,840
51,Women Make Film: A New Road Movie Through Cinema,840
52,Der Stammbaum des Dr. Pistorius,821
53,La flor,808
54,Empired,780
55,Psychos DFLLL,780
56,Comment Yukong déplaça les montagnes,763
57,American Fencer,761
58,Europa: The Last Battle,746
59,Out 1,729
60,Double Fine Adventure,724
61,Jeanne Marie Renée,720
62,Raoul Wallenberg Tragic Hero or Agent 103?,720
63,"Animitas, 2014",720
64,Chamisso's Shadow,720
65,World War II: Heroes & Villains,720
66,The 8 Disc Matt Anderson Collection,703
67,Split,700
68,The Life and Times of Allen Ginsberg Deluxe Set,680
69,Amy's Night Out,675
70,Right of Asylum,665
71,Wholy,660
72,A Retrospection of Leningrad (1957-1990),659
73,Early Women Filmmakers,653
74,Noce i dnie,632
75,Are We Famous Yet???,625
76,Fan,623
77,Make Me Fly,623
78,Prisjadim na dorozku,620
79,Chang'an Boulevard,613
80,Paint Drying,607
81,A História de João e Zeca,605
82,"Silence not silence, red not red, live not live",601
83,The Eagle's Eye,600
84,Sdsdsdsdsdsds,600
85,Pink Noise,600
86,Old and rare forms of craftsmanship,600
87,Khleb - imya sushchestvitelnoe,580
88,Shoah,566
89,Tie Xi Qu: West of the Tracks,551
90,9 Hours,549
91,What Is Love?,545
92,Evolution of a Filipino Family,540
93,Heremias: Unang aklat - Ang alamat ng prinsesang bayawak,540
94,Death in the Land of Encantos,540
95,In Course of the Miraculous,540
96,Freedom & Unity: The Vermont Movie,520
97,Taiga,501
98,UFOs and Close Encounters,500
99,Close Up,500
100,Dead Souls,495
101,Barrabas,489
102,Empire,485
103,A Lullaby to the Sorrowful Mystery,485
104,El protegido de Satán,480
105,The Photo-Drama of Creation,480
106,"The Spectacular Spider-Man Trilogy (Responsibility, Repute and Requiem)",480
107,Sleep,480
108,CzechMate: In Search of Jirí Menzel,480
109,Till We Age,480
110,Cine Dreams: Future Cinema of the Mind,480
111,Report,480
112,Leviathan: The Story of Hellraiser and Hellbound: Hellraiser II,476
113,O.J.: Made in America,467
114,Français si vous saviez,465
115,Mefisto,460
116,The Beloved Adventurer,450
117,Satantango,450
118,Ozalli Yillar,450
119,Melancholia,450
120,The Soulless,450
121,Who Was Hitler,450
122,The Freshman Experience,447
123,Hitler: A Film from Germany,442
124,The Broken Coin,440
125,Lamentations a Monument for the Dead World,437
126,Der Fliegender Holländer,429
127,Expressionism in Croatian Painting,426
128,War and Peace,422
129,Les vampires,421
130,The Movie Orgy,420
131,The Cloth Peddler,420
132,George Stevens' World War II Footage,420
133,Tih Minh,418
134,Earth at Risk: Building a Resistance Movement to Save the Planet,416
135,"College Days, College Nights",414
136,The New Americans,411
137,The Satin Slipper,410
138,The Vatican Museums,410
139,Ubuntu 14.04: Everyday Usage,410
140,Next Stop,406
141,My Conversations on Film,404
142,Star Spangled to Death,402
143,Liberty,400
144,Bábolna,400
145,Mackendrick on Film,400
146,The Cremaster Cycle,398
147,1998: The Deadliest Year For Children In American History,396
148,Crveno doba,395
149,I paisan,392
150,Native of Owhyhee,390
151,Serious Serial Killers,388
152,De filosoof van Haeghem,385
153,Depeche Mode: Video Singles Collection,383
154,La maison du mystère,382
155,VirtueMart 2.x - Der Grundkurs,382
156,Parisette,380
157,Babel - lettre à mes amis restés en Belgique,380
158,David Icke: Beyond the Cutting Edge,380
159,Highway Star: A Journey in Rock,380
160,Catholicism: The Pivotal Players,379
161,Nation and Destiny 1-4: Choe Hyon Dok,378
162,"Inde, des dieux et des hommes",375
163,The New Mission of Judex,374
164,Mérföldkövek a magyar technika történetéböl,371
165,Die Nacht,367
166,The Best of Youth,366
167,Fra X Til Døden,365
168,Corti Circuiti Erotici,365
169,"Metallica/Slayer/Megadeth/Anthrax: The Big 4: Live from Sofia, Bulgaria",364
170,Glorious Things Are Sung of Zion,364
171,Südostpassage,363
172,Creating Dreams: Filming Patchwork 1&2,363
