,primary_title,rating,votes
0,The Maltese Phallus,10.0,5
1,Girls Loving Girls,10.0,5
2,Triple Seat,10.0,6
3,Kirket,10.0,568
4,Vattamesha Sammelanam,10.0,5
5,Home,9.9,17
6,Der Kaktusgarten,10.0,6
7,Mrs. Dally,9.9,9
8,Die Möwe,10.0,5
9,Mrs. Cheneys Ende,10.0,6
10,Bei Tag und bei Nacht oder Der Hund des Gärtners,10.0,5
11,Die eiskalte Nacht,10.0,5
12,Das Glück sucht seine Kinder,10.0,5
13,Joan of Arc at the Stake,9.9,16
14,Der letzte Raum,10.0,5
15,Gideon,9.9,8
16,Montserrat,9.9,7
17,Die Reise des Simon Feder,10.0,5
18,Arturo Benedetti Michelangeli,10.0,8
19,Mister Barnett,10.0,5
20,Zwischenfall im Roxy,10.0,6
21,Große Schmährede an der Stadtmauer,10.0,5
22,Tote ohne Begräbnis,10.0,13
23,Kein Ersatz für Perlen,10.0,5
24,Fliegender Sand,9.9,12
25,Ein Weihnachtslied in Prosa,10.0,7
26,Under,10.0,6
27,Collapse,10.0,55
28,Leben im Hochwasser,10.0,5
29,Platons Gastmahl,10.0,5
30,Die gute Sieben,9.9,17
31,Burza rada,9.9,9
32,Natjecaj za crnu pricu,9.9,9
33,Simpósio Internacional de Escultura em Pedra,10.0,5
34,Kvart,9.9,16
35,Potpisani 04 - Paja Shishkebab,9.9,143
36,Poios ti zoi mou...,9.9,7
37,"Potpisani 07: Garaza, osveta i jos ponesto",9.9,7
38,La bataille des droits de l'homme,10.0,5
39,Yours truly Roohani,10.0,164
