,name,born,primary_title,premiered,runtime_minutes
0,Aachi Manorama,1937,Periyanna,1999,148
1,Aachi Manorama,1937,Kannan Varuvaan,2000,135
2,Aachi Manorama,1937,Karmegam,2002,138
3,Aachi Manorama,1937,Whistle,2003,153
4,Aachi Manorama,1937,Pandavar Bhoomi,2001,150
5,Aachi Manorama,1937,Peralagan,2004,143
6,Aachi Manorama,1937,7/G Rainbow Colony,2004,185
7,Aachi Manorama,1937,Neranja Manasu,2004,150
8,Aachi Manorama,1937,Imsai Arasan 23 M Pulikesi,2006,142
9,Aachi Manorama,1937,Simmarasi,1998,162
10,Aachi Manorama,1937,Arundhati,2009,131
11,Aachi Manorama,1937,Aalwar,2007,152
12,Aachi Manorama,1937,Unnai Thedi,1999,151
13,Aachi Manorama,1937,Kannaal Pesavaa,2000,137
14,Aachi Manorama,1937,Karisakattu Poove,2000,140
15,Aachi Manorama,1937,Krishna Krishna,2001,135
16,Ada Rogovtseva,1937,Schaste po retseptu,2006,180
17,Ada Rogovtseva,1937,Ya vernus,2009,624
18,Ada Rogovtseva,1937,"Tebe, nastoyashchemu",2004,143
19,Ada Vojtsik,1905,Vsya korolevskaya rat,1971,198
20,Adele Sandrock,1863,Helen of Troy,1924,204
21,Adelina Campos,1905,Uma Vontade Maior,1967,135
22,Adoor Bhawani,1927,Satyaprathinja,1991,132
23,Adoor Bhawani,1927,Nayam Vekthamakkunnu,1991,137
24,Adoor Bhawani,1927,Oru CBI Diary Kurippu,1988,137
25,Adoor Bhawani,1927,Oro Viliyum Kathorthu,1998,146
26,Adriana Asti,1931,Il grande fuoco,1995,400
27,Adriana Asti,1931,Les allumettes suédoises,1996,287
28,Adriana Asti,1931,La famiglia Ricordi,1995,360
29,Adriana Asti,1931,The Best of Youth,2003,366
30,Adrienne Gessner,1896,Liliom,1971,125
31,Adrienne Gessner,1896,Nathan der Weise,1964,150
32,Adrienne Gessner,1896,Drei Schwestern,1977,153
33,Agnes Fink,1919,Marleneken,1990,200
34,Agnes Kraus,1911,"Mensch, Oma!",1984,260
35,Agnes Kraus,1911,Benno macht Geschichten,1982,143
36,Agnes Moorehead,1900,"Hush...Hush, Sweet Charlotte",1964,133
37,Agneta Ekmanner,1938,Taurus,2002,180
38,Agneta Prytz,1916,Liten Tuva,1985,180
39,Agneta Prytz,1916,Utan en tråd,1993,180
40,Agnieszka Mandat,1953,Spoor,2017,128
41,Ah-Lei Gua,1944,Miss Granny,2015,131
42,Aiko Nagayama,1941,Wataru Seken wa Oni bakari: 3-Hour Special,2017,162
43,Akiko Kazami,1921,Hameln,2013,132
44,Alanis Obomsawin,1932,We Can't Make the Same Mistake Twice,2016,163
45,Alberte Aveline,1938,Le misanthrope,2000,150
46,Aleksandra Górska,1939,Ojciec Mateusz,2008,780
47,Aleksandra Nazarova,1940,Torgashi,2004,208
48,Alena Vránová,1932,Village Green,2006,520
49,Alexandra Schmitt,1861,Mother Krause's Journey to Happiness,1929,121
50,Alexis Smith,1921,A Death in California,1985,240
51,Alexis Smith,1921,Dress Gray,1986,192
52,Alice Tissot,1890,Mathilde,1967,200
53,Alice Treff,1906,König Johann,1971,135
54,Alice Treff,1906,Alte Gauner,1985,360
55,Alicia Aller,1940,Historias Breves 4,2004,160
56,Alicja Jachiewicz,1948,General Nil,2009,125
57,Alida Valli,1921,Una vita in gioco 2,1992,180
58,Aliman Zhankorozova,1914,Potomok belogo barsa,1985,134
59,Alisa Freyndlikh,1934,Zhenskaya logika 2,2003,144
60,Alisa Freyndlikh,1934,Vozvrashchenie mushketyorov ili Sokrovishcha kardinala Mazarini,2012,198
61,Alisa Freyndlikh,1934,"The Return of the Musketeers, or The Treasures of Cardinal Mazarin",2009,134
62,Alisa Freyndlikh,1934,Room and a Half,2009,130
63,Alisa Freyndlikh,1934,Vasilyevskiy ostrov,2009,180
64,Alisa Freyndlikh,1934,Bolshoy,2017,132
65,Alisa Freyndlikh,1934,Kaliforniyskaya syuita,2007,129
66,Aliye Rona,1921,Kurulus,1986,128
67,Aliza Rosen,1939,The Brown Girls,2002,480
68,Alla Budnitskaya,1937,"Balzakovskiy vozrast, ili Vse muzhiki svo... 5 let spustya",2013,178
69,Alla Demidova,1936,The Tuner,2004,154
70,Alla Kazanskaya,1920,Zheleznyy zanaves,1994,241
71,Alla Kazanskaya,1920,Pyat uglov,1989,156
72,Alla Nazimova,1879,Blood and Sand,1941,125
73,Alla Parfanyak,1923,Dom pod zvyozdnym nebom,1991,121
74,Alla Tarasova,1898,Kremlyovskie kuranty,1967,160
75,Alla Tarasova,1898,Vragi,1972,137
76,Alma Seidler,1899,Ein Volksfeind,1964,143
77,Alma Seidler,1899,Mich hätten Sie sehen sollen!,1977,130
78,Altan Karindas,1929,Karanlikta Kosanlar,2001,450
79,Amalia Bernabé,1895,Aventura '77,1977,720
80,Amelia de la Torre,1905,La Celestina,1969,123
81,Aminah Rizq,1910,Kit Kat,1991,129
82,Amparo Rivelles,1925,La regenta,1995,270
83,Amy Dalby,1888,Smoke Over London,1966,122
84,Ana Belén,1951,The Queen of Spain,2016,128
85,Ana Ofelia Murguía,1933,Written on the Body of Night,2001,128
86,Analía Gadé,1931,La rosa azul,2001,143
87,Anastasiya Zueva,1896,Zapiski Pikvikskogo kluba,1972,160
88,Anastasiya Zueva,1896,Chekhovskiye stranitsy,1977,129
89,Andreina Pagnani,1906,La chiusa,1968,146
90,Andreina Pagnani,1906,Il ladro solitario,1972,183
91,Andreina Pagnani,1906,Il pazzo di Bergerac,1972,145
92,Andreina Pagnani,1906,Maigret in pensione,1972,146
93,Andreina Pagnani,1906,Maigret e i diamanti,1968,186
94,Andrée Champeaux,1905,Romain Kalbris,1973,195
