,genres,avg_rating,avg_seasons
0,"History,Mystery,News",7.900000000000038,30.0
1,"Adventure,Biography,Crime",8.099999999999948,24.0
2,"Adventure,Drama,Reality-TV",7.900000000000043,20.0
3,"Family,Game-Show,Short",6.722102119185954,18.0
4,"Biography,Horror,Music",7.0999999999999615,15.0
5,"Documentary,Mystery,Thriller",4.799999999999997,13.0
6,"Comedy,Drama,Talk-Show",4.199999999999886,12.0
7,"Game-Show,Short",7.75968056096517,12.0
8,"Mystery,Sci-Fi,Talk-Show",8.799999999999999,12.0
9,"Family,Music,Mystery",3.0,11.0
10,"Musical,News,Reality-TV",6.8000000000000576,11.0
11,"News,Short,Talk-Show",7.599999999999988,11.0
12,"Action,News,Sport",6.600000000000015,10.0
13,"Action,Crime,Reality-TV",6.946979260595145,10.0
14,"News,Sci-Fi",7.0,10.0
15,"Adventure,Reality-TV,Short",8.299999999999981,10.0
16,"Documentary,Reality-TV,Romance",2.5,9.0
17,"Documentary,Drama,Thriller",4.199999999999993,9.0
18,"Adult,Romance",5.937349397590361,9.0
19,"History,Sci-Fi,Thriller",7.516923076923075,9.0
20,"Action,Reality-TV,Sport",7.546563192904657,9.0
21,"Drama,Game-Show,Reality-TV",3.2137529137529026,8.0
22,"Adventure,Crime,Reality-TV",4.899999999999991,8.0
23,"Documentary,Family,Game-Show",6.5,8.0
24,"Game-Show,Reality-TV,Short",7.099999999999948,8.0
25,"Reality-TV,Western",7.299999999999986,8.0
26,"Comedy,Game-Show,News",7.476645435244089,8.0
27,"Music,Musical",7.868693009118562,8.0
28,"Drama,News,Talk-Show",5.099999999999998,7.0
29,"Music,Sport,Talk-Show",6.899999999999888,7.0
30,"Animation,Documentary,Talk-Show",7.800000000000008,7.0
31,"Adventure,Mystery,Reality-TV",8.299999999999976,7.0
32,"Family,Fantasy,Music",8.548320693391238,7.0
33,"Adult,Short",4.599999999999999,6.0
34,"Documentary,News,Talk-Show",5.44938896314641,6.0
35,"Drama,Mystery,Reality-TV",5.764135021097067,6.0
36,"Documentary,Reality-TV,Short",6.310781671159037,6.0
37,"Horror,Reality-TV,Sci-Fi",6.6065934065933805,6.0
38,"Animation,Crime,Family",6.636241610738285,6.0
39,"Crime,Documentary,Thriller",6.8999999999999995,6.0
40,"Reality-TV,Sport,Talk-Show",7.100000000000015,6.0
41,"Documentary,Drama,Family",7.299999999999975,6.0
42,"Documentary,Romance",7.439479905437356,6.0
43,"Biography,Sport,Talk-Show",7.8999999999999915,6.0
44,"Animation,News,Sci-Fi",8.100000000000009,6.0
45,"Crime,Mystery,Reality-TV",8.109107468123794,6.0
46,"Family,Game-Show,Mystery",8.199999999999994,6.0
47,"Adventure,Biography,Drama",8.383044554455441,6.0
48,"Adventure,Comedy,Horror",8.699999999999994,6.0
49,"Biography,Family,News",3.0,5.0
50,"Game-Show,Reality-TV,Thriller",4.092307692307732,5.0
51,"Adult,Comedy",5.505687203791469,5.0
52,"Documentary,Sci-Fi,Sport",6.5,5.0
53,"Adventure,Game-Show,Mystery",7.399999999999996,5.0
54,"Horror,Reality-TV,Short",7.5,5.0
55,"Documentary,Game-Show,News",8.699999999999994,5.0
56,"Comedy,Music,Sport",5.266568047337308,4.0
57,"Adventure,Fantasy,Game-Show",5.699999999999995,4.0
58,"Comedy,Family,Reality-TV",6.001954397394168,4.0
59,"History,Reality-TV,Thriller",6.099999999999998,4.0
60,"Biography,Drama,Reality-TV",6.370967741935484,4.0
61,"Drama,Romance,Short",6.52500000000001,4.0
62,"Biography,Reality-TV,Talk-Show",6.6199999999999966,4.0
63,"Documentary,Fantasy,Short",6.8000000000000025,4.0
