,genres,premiered,ammount_movies,average_rating
0,Action,2019,74,5.877027027027029
1,"Action,Adventure",2019,2,5.949999999999999
2,"Action,Adventure,Animation",2019,16,7.09375
3,"Action,Adventure,Biography",2019,2,5.5
4,"Action,Adventure,Comedy",2019,16,5.7749999999999995
5,"Action,Adventure,Crime",2019,3,6.0
6,"Action,Adventure,Drama",2019,10,5.7700000000000005
7,"Action,Adventure,Family",2019,4,5.824999999999999
8,"Action,Adventure,Fantasy",2019,3,5.400000000000001
9,"Action,Adventure,History",2019,2,7.65
10,"Action,Adventure,Horror",2019,3,5.866666666666667
11,"Action,Adventure,Romance",2019,1,4.9
12,"Action,Adventure,Sci-Fi",2019,10,5.960000000000001
13,"Action,Adventure,Thriller",2019,3,5.333333333333333
14,"Action,Animation,Comedy",2019,3,7.766666666666667
15,"Action,Animation,Crime",2019,3,6.833333333333333
16,"Action,Animation,Drama",2019,1,6.8
17,"Action,Animation,Family",2019,1,6.7
18,"Action,Animation,Fantasy",2019,1,6.5
19,"Action,Animation,Sci-Fi",2019,2,6.199999999999999
20,"Action,Biography",2019,1,2.3
21,"Action,Biography,Crime",2019,1,5.9
22,"Action,Biography,Documentary",2019,1,7.4
23,"Action,Biography,Drama",2019,6,6.533333333333332
24,"Action,Biography,History",2019,1,7.6
25,"Action,Comedy",2019,18,6.472222222222222
26,"Action,Comedy,Crime",2019,9,7.022222222222222
27,"Action,Comedy,Drama",2019,8,5.8125
28,"Action,Comedy,Family",2019,1,6.3
29,"Action,Comedy,Fantasy",2019,3,5.233333333333333
30,"Action,Comedy,Horror",2019,8,6.574999999999999
31,"Action,Comedy,Romance",2019,3,5.333333333333333
32,"Action,Comedy,Sci-Fi",2019,2,5.85
33,"Action,Comedy,Thriller",2019,2,6.15
34,"Action,Crime",2019,11,6.709090909090909
35,"Action,Crime,Documentary",2019,1,7.8
36,"Action,Crime,Drama",2019,38,5.715789473684211
37,"Action,Crime,Fantasy",2019,1,4.8
38,"Action,Crime,Mystery",2019,3,5.133333333333333
39,"Action,Crime,Sci-Fi",2019,1,5.7
40,"Action,Crime,Thriller",2019,15,5.926666666666666
41,"Action,Documentary",2019,1,3.7
42,"Action,Drama",2019,39,6.589743589743589
43,"Action,Drama,Fantasy",2019,4,7.125
44,"Action,Drama,History",2019,11,6.00909090909091
45,"Action,Drama,Horror",2019,4,6.2250000000000005
46,"Action,Drama,Mystery",2019,3,7.033333333333334
47,"Action,Drama,Romance",2019,11,6.254545454545456
48,"Action,Drama,Sci-Fi",2019,4,5.325
49,"Action,Drama,Sport",2019,7,6.414285714285714
50,"Action,Drama,Thriller",2019,15,6.4399999999999995
51,"Action,Drama,War",2019,8,6.324999999999999
52,"Action,Family",2019,2,6.5
53,"Action,Fantasy",2019,1,6.9
54,"Action,Fantasy,History",2019,1,6.9
55,"Action,Fantasy,Romance",2019,1,5.0
56,"Action,History",2019,3,7.1000000000000005
57,"Action,History,War",2019,1,7.1
58,"Action,Horror",2019,5,5.74
59,"Action,Horror,Sci-Fi",2019,5,6.24
60,"Action,Horror,Sport",2019,1,5.6
61,"Action,Horror,Thriller",2019,5,6.26
62,"Action,Romance",2019,1,6.7
63,"Action,Sci-Fi",2019,6,4.283333333333334
64,"Action,Sci-Fi,Thriller",2019,5,6.04
65,"Action,Thriller",2019,41,6.278048780487806
66,"Action,War",2019,2,6.05
67,"Action,Western",2019,1,3.7
68,"Adult,Comedy",2019,1,5.0
69,"Adult,Drama",2019,1,7.7
70,Adventure,2019,14,5.957142857142857
71,"Adventure,Animation",2019,1,5.5
72,"Adventure,Animation,Comedy",2019,15,6.180000000000001
73,"Adventure,Animation,Documentary",2019,1,8.4
74,"Adventure,Animation,Drama",2019,1,7.0
75,"Adventure,Animation,Family",2019,6,7.033333333333332
76,"Adventure,Animation,Fantasy",2019,8,6.65
77,"Adventure,Animation,Romance",2019,1,4.5
78,"Adventure,Animation,Sci-Fi",2019,1,7.2
79,"Adventure,Biography,Comedy",2019,1,6.0
80,"Adventure,Biography,Drama",2019,2,6.75
81,"Adventure,Biography,History",2019,1,7.4
82,"Adventure,Comedy",2019,8,6.05
83,"Adventure,Comedy,Crime",2019,5,6.9399999999999995
84,"Adventure,Comedy,Documentary",2019,4,6.4750000000000005
85,"Adventure,Comedy,Drama",2019,12,6.908333333333331
86,"Adventure,Comedy,Family",2019,2,6.6
87,"Adventure,Comedy,Horror",2019,3,6.7
88,"Adventure,Comedy,Musical",2019,1,6.8
89,"Adventure,Comedy,Romance",2019,2,8.0
90,"Adventure,Crime,Drama",2019,1,6.9
91,"Adventure,Crime,Family",2019,1,5.6
92,"Adventure,Crime,Mystery",2019,1,9.1
93,"Adventure,Documentary",2019,6,6.6000000000000005
94,"Adventure,Documentary,Sport",2019,1,5.4
95,"Adventure,Drama",2019,4,6.2749999999999995
96,"Adventure,Drama,Family",2019,9,6.533333333333333
97,"Adventure,Drama,Fantasy",2019,1,5.8
98,"Adventure,Drama,Horror",2019,1,5.1
99,"Adventure,Drama,Music",2019,1,5.5
100,"Adventure,Drama,Mystery",2019,2,6.5
101,"Adventure,Drama,Romance",2019,2,5.6
102,"Adventure,Drama,Sci-Fi",2019,1,8.3
103,"Adventure,Drama,Thriller",2019,3,7.766666666666666
104,"Adventure,Family",2019,7,6.1
105,"Adventure,Family,Fantasy",2019,8,7.2749999999999995
106,"Adventure,Fantasy",2019,4,4.975
107,"Adventure,Fantasy,Horror",2019,3,5.599999999999999
108,"Adventure,Fantasy,Thriller",2019,1,4.6
109,"Adventure,History,War",2019,1,2.9
110,"Adventure,Horror",2019,1,3.3
111,"Adventure,Horror,Mystery",2019,1,5.5
112,"Adventure,Music,Sci-Fi",2019,1,7.1
113,"Adventure,Mystery,Sci-Fi",2019,1,8.5
114,"Adventure,Romance",2019,1,7.5
115,"Adventure,Sci-Fi",2019,1,8.6
116,"Adventure,Thriller",2019,1,6.3
117,"Adventure,Western",2019,1,6.2
118,Animation,2019,33,6.357575757575757
119,"Animation,Comedy",2019,3,6.366666666666666
120,"Animation,Comedy,Drama",2019,2,8.25
121,"Animation,Comedy,Family",2019,3,6.133333333333333
122,"Animation,Comedy,Fantasy",2019,1,6.3
123,"Animation,Comedy,Musical",2019,1,1.7
124,"Animation,Comedy,Romance",2019,1,6.9
125,"Animation,Crime,Drama",2019,1,8.0
